date,forecasted_sales
2024-01-01,3202.2
2024-01-02,2857.3
2024-01-03,2696.7
2024-01-04,2716.1
2024-01-05,2782.9
2024-01-06,2872.9
2024-01-07,2968.5
2024-01-08,2696.1
2024-01-09,2595.0
2024-01-10,2583.1
2024-01-11,2599.8
2024-01-12,2635.3
2024-01-13,2715.9
2024-01-14,2773.7
2024-01-15,2488.8
2024-01-16,2411.9
2024-01-17,2432.0
2024-01-18,2452.4
2024-01-19,2504.8
2024-01-20,2595.6
2024-01-21,2646.1
2024-01-22,2354.0
2024-01-23,2233.4
2024-01-24,2220.6
2024-01-25,2253.4
2024-01-26,2361.2
2024-01-27,2465.1
2024-01-28,2508.6
2024-01-29,2232.0
2024-01-30,2104.9
