date,forecast
2024-01-01,179.65
2024-01-02,176.5
2024-01-03,164.23
2024-01-04,149.68
2024-01-05,149.6
2024-01-06,142.99
2024-01-07,158.07
2024-01-08,164.27
2024-01-09,171.82
2024-01-10,159.8
2024-01-11,146.18
2024-01-12,146.28
2024-01-13,135.78
2024-01-14,141.01
2024-01-15,155.46
2024-01-16,152.07
2024-01-17,159.36
2024-01-18,150.5
2024-01-19,136.87
2024-01-20,137.5
2024-01-21,149.18
2024-01-22,157.02
2024-01-23,163.96
2024-01-24,162.89
2024-01-25,155.08
2024-01-26,153.8
2024-01-27,151.68
2024-01-28,159.21
2024-01-29,173.17
2024-01-30,182.49
